seed,alpha,gamma,epsilon,n_successes,n_successes_last_10_trials
1,0.1,0.1,0.1,93,9
1,0.1,0.1,0.2,90,10
1,0.1,0.1,0.3,86,10
1,0.1,0.1,0.4,80,7
1,0.1,0.1,0.5,58,5
1,0.1,0.1,0.6,53,6
1,0.1,0.1,0.7,47,3
1,0.1,0.1,0.8,46,5
1,0.1,0.1,0.9,28,2
1,0.1,0.1,1,14,0
1,0.1,0.2,0.1,92,10
1,0.1,0.2,0.2,94,10
1,0.1,0.2,0.3,81,9
1,0.1,0.2,0.4,79,9
1,0.1,0.2,0.5,64,9
1,0.1,0.2,0.6,50,5
1,0.1,0.2,0.7,46,6
1,0.1,0.2,0.8,38,5
1,0.1,0.2,0.9,34,4
1,0.1,0.2,1,19,1
1,0.1,0.3,0.1,90,10
1,0.1,0.3,0.2,93,9
1,0.1,0.3,0.3,86,10
1,0.1,0.3,0.4,82,8
1,0.1,0.3,0.5,65,7
1,0.1,0.3,0.6,61,6
1,0.1,0.3,0.7,57,8
1,0.1,0.3,0.8,39,4
1,0.1,0.3,0.9,27,4
1,0.1,0.3,1,20,4
1,0.1,0.4,0.1,90,8
1,0.1,0.4,0.2,90,10
1,0.1,0.4,0.3,86,9
1,0.1,0.4,0.4,73,7
1,0.1,0.4,0.5,63,6
1,0.1,0.4,0.6,60,6
1,0.1,0.4,0.7,49,4
1,0.1,0.4,0.8,39,5
1,0.1,0.4,0.9,29,2
1,0.1,0.4,1,20,3
1,0.1,0.5,0.1,89,9
1,0.1,0.5,0.2,91,9
1,0.1,0.5,0.3,88,8
1,0.1,0.5,0.4,73,8
1,0.1,0.5,0.5,67,6
1,0.1,0.5,0.6,50,4
1,0.1,0.5,0.7,47,2
1,0.1,0.5,0.8,28,2
1,0.1,0.5,0.9,25,3
1,0.1,0.5,1,18,1
1,0.1,0.6,0.1,89,10
1,0.1,0.6,0.2,83,8
1,0.1,0.6,0.3,77,9
1,0.1,0.6,0.4,75,8
1,0.1,0.6,0.5,67,6
1,0.1,0.6,0.6,61,3
1,0.1,0.6,0.7,46,4
1,0.1,0.6,0.8,43,5
1,0.1,0.6,0.9,24,2
1,0.1,0.6,1,14,1
1,0.1,0.7,0.1,88,10
1,0.1,0.7,0.2,83,9
1,0.1,0.7,0.3,82,8
1,0.1,0.7,0.4,82,6
1,0.1,0.7,0.5,68,7
1,0.1,0.7,0.6,57,3
1,0.1,0.7,0.7,49,5
1,0.1,0.7,0.8,34,4
1,0.1,0.7,0.9,34,1
1,0.1,0.7,1,27,1
1,0.1,0.8,0.1,95,10
1,0.1,0.8,0.2,86,8
1,0.1,0.8,0.3,89,8
1,0.1,0.8,0.4,68,7
1,0.1,0.8,0.5,71,5
1,0.1,0.8,0.6,47,4
1,0.1,0.8,0.7,52,5
1,0.1,0.8,0.8,32,1
1,0.1,0.8,0.9,32,4
1,0.1,0.8,1,18,2
1,0.1,0.9,0.1,90,9
1,0.1,0.9,0.2,90,9
1,0.1,0.9,0.3,81,8
1,0.1,0.9,0.4,80,8
1,0.1,0.9,0.5,72,7
1,0.1,0.9,0.6,60,6
1,0.1,0.9,0.7,44,5
1,0.1,0.9,0.8,35,2
1,0.1,0.9,0.9,21,2
1,0.1,0.9,1,16,0
1,0.1,1,0.1,98,10
1,0.1,1,0.2,85,9
1,0.1,1,0.3,77,8
1,0.1,1,0.4,69,3
1,0.1,1,0.5,65,6
1,0.1,1,0.6,52,5
1,0.1,1,0.7,40,4
1,0.1,1,0.8,30,4
1,0.1,1,0.9,33,3
1,0.1,1,1,20,2
1,0.2,0.1,0.1,89,8
1,0.2,0.1,0.2,93,10
1,0.2,0.1,0.3,86,9
1,0.2,0.1,0.4,83,7
1,0.2,0.1,0.5,71,6
1,0.2,0.1,0.6,62,6
1,0.2,0.1,0.7,49,8
1,0.2,0.1,0.8,44,5
1,0.2,0.1,0.9,27,2
1,0.2,0.1,1,23,2
1,0.2,0.2,0.1,89,10
1,0.2,0.2,0.2,92,10
1,0.2,0.2,0.3,83,9
1,0.2,0.2,0.4,87,9
1,0.2,0.2,0.5,77,9
1,0.2,0.2,0.6,55,3
1,0.2,0.2,0.7,46,7
1,0.2,0.2,0.8,35,3
1,0.2,0.2,0.9,26,1
1,0.2,0.2,1,29,2
1,0.2,0.3,0.1,92,10
1,0.2,0.3,0.2,93,10
1,0.2,0.3,0.3,84,9
1,0.2,0.3,0.4,73,8
1,0.2,0.3,0.5,69,7
1,0.2,0.3,0.6,54,7
1,0.2,0.3,0.7,44,4
1,0.2,0.3,0.8,45,7
1,0.2,0.3,0.9,21,2
1,0.2,0.3,1,23,4
1,0.2,0.4,0.1,91,9
1,0.2,0.4,0.2,89,9
1,0.2,0.4,0.3,84,8
1,0.2,0.4,0.4,77,8
1,0.2,0.4,0.5,72,8
1,0.2,0.4,0.6,55,6
1,0.2,0.4,0.7,49,5
1,0.2,0.4,0.8,35,4
1,0.2,0.4,0.9,20,2
1,0.2,0.4,1,21,1
1,0.2,0.5,0.1,88,10
1,0.2,0.5,0.2,88,9
1,0.2,0.5,0.3,88,9
1,0.2,0.5,0.4,74,6
1,0.2,0.5,0.5,67,5
1,0.2,0.5,0.6,59,7
1,0.2,0.5,0.7,54,5
1,0.2,0.5,0.8,42,6
1,0.2,0.5,0.9,28,3
1,0.2,0.5,1,21,5
1,0.2,0.6,0.1,86,10
1,0.2,0.6,0.2,88,7
1,0.2,0.6,0.3,73,5
1,0.2,0.6,0.4,76,8
1,0.2,0.6,0.5,72,7
1,0.2,0.6,0.6,58,6
1,0.2,0.6,0.7,52,6
1,0.2,0.6,0.8,41,6
1,0.2,0.6,0.9,22,1
1,0.2,0.6,1,22,1
1,0.2,0.7,0.1,88,9
1,0.2,0.7,0.2,83,6
1,0.2,0.7,0.3,59,7
1,0.2,0.7,0.4,67,4
